source_name,link
Root knot nematode: Meloidogyne incognita - TNAU Agritech,https://agritech.tnau.ac.in/crop_protection/nematology/crop_prot_nematode_veg_root_nemo.html
zoho sheet,https://sheet.zoho.in/sheet/published/0zfnhb40ddc2775c547f89794fb0ad7d45fdf?sheetid=0&range=B43
POP Haryana Bottle guard,https://workdrive.zohoexternal.in/folder/xww6777bee074bdac41209d5739a8540a2f1c?layout=list
TNAU Agritech Portal :: Crop Protection,https://agritech.tnau.ac.in/crop_protection/gourds_diseases_3.html
Haryana pop,https://sheet.zoho.in/sheet/published/0zfnhb40ddc2775c547f89794fb0ad7d45fdf
Rats-TNAU Agritech,http://www.agritech.tnau.ac.in/expert_system/paddy/cpnonrat.html
SGA_HR_Pearl millet,https://sheet.zoho.in/sheet/published/0zfnhbbd3314be1ef45b4802a123797fb7067
CHAUDHARY CHARAN SINGH HARYANA AGRICULTURL UNIVERSITY,https://workdrive.zohoexternal.in/folder/tpafi18a5898a081242599fc46d758b3c1f42?layout=list
POP-HARYANA PEARLMILLET,https://workdrive.zohoexternal.in/folder/xww678c3e285ce4cf44ca8213dcb36d6adb4e
NIPHM,https://workdrive.zohoexternal.in/folder/hfa8188a94aa115cd4eb1897ea5f687f3b264?layout=list
Pop of haryana,https://workdrive.zohoexternal.in/folder/hfa8188a94aa115cd4eb1897ea5f687f3b264
Rice - Package of Practices,https://workdrive.zohoexternal.in/folder/2bmyq19e121b70e864bf8bdac9db720b47233?layout=list
HSDC,https://haryanaseeds.org.in/products/field-crops/kharif-crops/bajra
POP-Package of Practices Kharif 2025_PAU Punjab Agriculture University_Ludhiana,https://storage.googleapis.com/annam-dataset/pops/Punjab_Kharif_2025.pdf
Kharif Onion,https://workdrive.zohoexternal.in/folder/xyy4kfdabc51542014df8bf233c03a55ba8b9
Rabi Onion,https://workdrive.zohoexternal.in/folder/xyy4k1d86a02a18d440a3ac56e8fea6cd1749
SGA_HR_Onion,https://sheet.zoho.in/sheet/published/0zfnh9eb3aad86b154afb8c0434d5ff2fe2b9
NHB,https://workdrive.zoho.in/file/xyy4k4fae8e9cdb50403a88b94eb5c4cf6284
Onion Disaeses-NHB,https://workdrive.zohoexternal.in/file/xyy4k4fae8e9cdb50403a88b94eb5c4cf6284
CHAUDHARY CHARAN SINGH AGRICULTURAL UNIVERSITY,https://workdrive.zohoexternal.in/folder/xyy4k0b1321a234094c8d974dfe9d18de6d15?layout=list
CCSHAU-Haryana,https://workdrive.zohoexternal.in/folder/xyy4kacd919f9f74244649775428611fc8e43
POP-HARYANA ONION,https://workdrive.zohoexternal.in/folder/xyy4kd55ddba1796c40628d4bad24a7c36138?layout=list
CCSHAU,https://workdrive.zohoexternal.in/folder/xyy4kfdabc51542014df8bf233c03a55ba8b9?layout=list
CCSHAU,https://workdrive.zohoexternal.in/folder/xyy4k1d86a02a18d440a3ac56e8fea6cd1749?layout=list
Post harvest Handling and processing,https://workdrive.zohoexternal.in/file/egcqk5aefaac1cfc244ada546b7455cc20bad
"NHB Guava Propagation Method_National Horticulture Board, Gurugram, Haryana.pdf",https://workdrive.zohoexternal.in/folder/ufqv7175b3b5a39754c1b977a7edcd6e607c1?layout=list
"Glimpses of Sugarcane Cultivation-Directorate of Sugarcane Development,Lucknow,Uttarpradesh.pdf",https://workdrive.zohoexternal.in/folder/88tep928d19b666f74f2a92f12d6f33565c6c?layout=list
TNAUAGRI INFOTECH,https://workdrive.zohoexternal.in/folder/krmj738a22803314e4c67a72e0cb955becb08?layout=list
BlackgramandGreengram.pdf,https://sheet.zoho.in/sheet/published/8ydc62f3a4aebc06449a68958088b3b1df27d
TNAU Agritech Portal,https://agritech.tnau.ac.in/org_farm/orgfarm_green%20manure.html
Low cost wild boar managment methods Kerala - Kerala Agricultural University,https://www.ainpvpm.in/Archive/Folder/Low%20cost%20wild%20boar%20managment%20methods.pdf
Haryana pop,https://sheet.zoho.in/sheet/published
Punjab Rabi Season crops,https://workdrive.zohoexternal.in/folder/xww67437388a407984886aa71ce9ad01793ea?layout=list
RKB- IRRI,https://workdrive.zoho.in/file/1j88occ0c618512694226919203def21bc630
SGA_HR_sugarcane,https://sheet.zoho.in/sheet/published/qe7xu2bcb98f8c93f4f8ca2e4de1b6ce81747
Pop of sugarcane,https://workdrive.zohoexternal.in/folder/g3f7t05b914c79fc249068badc3e066bbcfb6
Co 0238 – The Wonder Variety of Sugarcane.pdf,https://icar.org.in/en/node/4869
POP english Emausamhau,https://workdrive.zohoexternal.in/folder/1j88obb2f498ec2db4756bcca6f0a35f32421
Haryana pop,https://sheet.zoho.in/sheet/published/8ydc62f3a4aebc06449a68958088b3b1df27d?sheetid=0&range=B410
haryana pop,https://sheet.zoho.in/sheet/published/8ydc62f3a4aebc06449a68958088b3b1df27d?sheetid=0&range=B397
haryana pop,https://sheet.zoho.in/sheet/published/8ydc62f3a4aebc06449a68958088b3b1df27d?sheetid=0&range=B14
haryana pop,https://sheet.zoho.in/sheet/published/8ydc62f3a4aebc06449a68958088b3b1df27d?sheetid=0&range=B212
haryana pop,https://sheet.zoho.in/sheet/published/8ydc62f3a4aebc06449a68958088b3b1df27d?sheetid=0&range=B233
haryana pop,https://sheet.zoho.in/sheet/published/8ydc62f3a4aebc06449a68958088b3b1df27d?sheetid=0&range=B56
haryana pop,https://sheet.zoho.in/sheet/published/8ydc62f3a4aebc06449a68958088b3b1df27d?sheetid=0&range=B105
Haryana pop,https://sheet.zoho.in/sheet/published/8ydc62f3a4aebc06449a68958088b3b1df27d?sheetid=0&range=A85
haryana pop,https://sheet.zoho.in/sheet/published/8ydc62f3a4aebc06449a68958088b3b1df27d?sheetid=0&range=B52
UP POP,https://sheet.zoho.in/sheet/published/jod1z14021c28f16b465588ad31b54c3f22f1?sheetid=0&range=B27
Pearlmillet-NIPHM.pdf,https://workdrive.zohoexternal.in/folder/jod1z11a227a2e3f44ab7beff69c401de1690?layout=list
UP POP,https://sheet.zoho.in/sheet/published/jod1z14021c28f16b465588ad31b54c3f22f1?sheetid=0&range=B484
agritech,"https://agritech.tnau.ac.in/crop_protection/mustard/crop_prot_crop_insect_oil_mustard_6.html#:~:text=Use%20tolerant%20varieties%20like%20JM,of%2010%2D15%20adults/day"
agritech,https://iiwbr.org.in/wp-content/uploads/2024/01/RB-51-Compendium-of-Wheat-Varieties-Notified-in-India-During-2018-2023.pdf#:~:
Global agriculture,"https://www.global-agriculture.com/seed-industry/high-yielding-wheat-varieties-for-india-rabi-2025/#:~:text=Table_title:%20List%20of%20Climate%2DResilient%20Wheat%20Varieties%20(Rabi,Chapati%20(7.5)%20&%20bread%20(8.24)%20quality%20%7C"
garden design,https://www.gardendesign.com/
Agronomy jopurnal,https://www.agronomyjournals.com/
agritech,http://www.agritech.tnau.ac.in/
The Journal of agricultural sciences,https://www.cambridge.org/core/journals/journal-of-agricultural-science
Verdesian life sciences,https://vlsci.com/blog/chelated-micronutrients-guide/
POP-UP PEA,https://workdrive.zohoexternal.in/folder/at1bvc5e9e974813e4c708800c93d922dd82c?layout=list
SGA_UP_Pea,https://sheet.zoho.in/sheet/published/zn41a49d4452ccc8f455b90a49f026c19ef70
Pop of up,https://workdrive.zohoexternal.in/folder/at1bvc5e9e974813e4c708800c93d922dd82c
UP POP KRISHI GYAN MANJUSHA,https://workdrive.zohoexternal.in/folder/m6u9mb7d3a9fbe36345ad9a8ba7b1a1bdca13?layout=list
PPQS,https://workdrive.zohoexternal.in/folder/u9kbrf8baddd546404f53baa6e25fd89f54fc
POP-UP MANGO- KRISHI GYAN MANJUSHA,https://workdrive.zohoexternal.in/folder/u9kbr36a22d54d5e34030a949cf6ddbbeb753?layout=list
NIPHM,https://www.niphm.gov.in/IPMPackages/Rice.pdf
Rice variety_ IARI,https://workdrive.zohoexternal.in/file/bvye6d75d9ab70b434eaf910edf5fa93f0a05
"Major Uses of Fungicides_Directorate of Plant Protection, Quarantine & Storage, Faridabad",https://workdrive.zohoexternal.in/folder/stxepcc07729e3ace4d7e9d93c143d73b93cf?layout=list
Rabi pop PAU.PDF,https://workdrive.zohoexternal.in/folder/q5ix5e63fa0fa86834e9ab5679306d8e9d773?layout=list
TNAU,"https://agritech.tnau.ac.in/crop_protection/tomato/tomato_7.html#:~:text=Eggs%3A%20Hyaline%2C%20globular%20laid%20in,Adult%3A%20Red%20coloured%20small%20sized"
Pop of haryana,https://workdrive.zohoexternal.in/folder/xyy4kd55ddba1796c40628d4bad24a7c36138
harvest,https://workdrive.zoho.in/file/0j2r53eebb8769e1741a68bdf6ee29033d080
POP Horticulture Crops - Assam,https://workdrive.zoho.in/file/zu51z77b1df0c2517414db0159f9ae7b034ab
Agricultural Crops Analysis - Assam,https://workdrive.zoho.in/file/zu51z484cf7b115964ce1ae8ac87a2d90bde7
Coconut-Based Multiple Cropping,https://workdrive.zoho.in/file/zu51zed748521a97b4cccabd70815a4531521
Adheena Victor,https://keralaagriculture.gov.in/wp-content/uploads/2021/04/Aromatic_medicinal_rice_varieties.pdf
Adheena Victor,https://www.celkau.in/crops/cereals/rice/varieties.php
Adheena Victor,https://drive.google.com/drive/folders/1UoLoNn28PI11JU5t8zgSrLx4Fs8rYTCt
Adheena Victor,https://www.celkau.in/Crops/Cereals/Rice/nm.aspx
Adheena Victor,https://www.celkau.in/crops/cereals/rice/manuring.php
NIPHM,https://workdrive.zohoexternal.in/folder/bvye6d1c55963e0904504b4346e89111c92f6?layout=list
